DATE	P15	P40	P60	P85
07-30	35.6	46.7	57.3	71.5	
07-31	36.6	47.7	59.3	71.9	
08-01	36.6	47.7	59.4	71.9	
08-02	36.6	48.6	59.4	72.0	
08-03	36.7	48.6	59.4	72.1	
08-04	36.8	48.6	59.7	74.1	
08-05	36.9	48.9	60.8	74.3	
08-06	36.9	49.1	60.8	75.6	
08-07	37.7	49.0	60.9	75.6	
08-08	37.6	49.0	60.9	75.5	
08-09	39.4	49.1	60.8	76.0	
08-10	39.4	49.1	60.8	77.1	
08-11	40.5	49.5	60.9	77.1	
08-12	40.5	50.1	61.3	77.1	
08-13	40.5	50.1	61.3	77.1	
08-14	42.2	50.0	61.2	78.9	
08-15	43.2	50.6	62.1	80.5	
08-16	43.0	49.4	61.1	79.7	
08-17	42.4	49.2	60.3	78.7	
08-18	42.3	49.2	60.2	78.6	
08-19	41.9	49.2	60.0	79.1	
08-20	41.9	49.7	61.7	79.5	
08-21	43.4	50.2	61.9	79.4	
08-22	43.4	50.3	62.0	79.5	
08-23	43.4	50.2	62.7	79.5	
08-24	44.1	50.2	62.7	79.6	
08-25	44.3	52.4	64.1	81.3	
08-26	44.4	52.6	64.5	82.1	
08-27	44.4	52.6	66.0	82.0	
08-28	44.3	52.7	66.4	82.0	
08-29	44.4	52.7	67.0	82.5	
08-30	44.4	52.6	67.0	82.5	
08-31	44.3	52.7	67.1	82.5	
09-01	44.4	52.7	67.0	82.5	
09-02	44.4	52.7	67.9	82.5	
09-03	45.7	53.7	67.9	83.0	
09-04	45.7	53.7	68.0	83.1	
09-05	46.5	54.6	68.0	83.1	
09-06	47.5	56.3	67.8	85.6	
09-07	48.7	56.4	67.9	85.6	
09-08	48.4	56.1	67.6	85.1	
09-09	48.8	55.9	67.4	84.9	
09-10	48.4	54.6	65.8	85.3	
09-11	48.9	55.8	66.7	85.3	
09-12	47.7	55.4	67.4	84.9	
09-13	46.2	54.3	67.5	84.5	
09-14	45.4	53.5	66.7	83.7	
09-15	46.1	53.9	66.7	83.6	
09-16	44.7	54.4	65.8	85.7	
09-17	43.4	52.3	63.6	84.6	
09-18	41.8	51.1	62.6	84.1	
