DATE	P15	P40	P60	P85
08-24	-5.645	-5.467	-5.285	-5.004	
08-25	-5.648	-5.468	-5.289	-5.009	
08-26	-5.651	-5.472	-5.294	-5.013	
08-27	-5.655	-5.467	-5.298	-5.018	
08-28	-5.658	-5.471	-5.287	-5.023	
08-29	-5.656	-5.474	-5.291	-5.028	
08-30	-5.637	-5.461	-5.295	-5.032	
08-31	-5.64	-5.443	-5.299	-5.037	
09-01	-5.643	-5.431	-5.303	-5.02	
09-02	-5.646	-5.435	-5.287	-5.003	
09-03	-5.65	-5.43	-5.284	-5.008	
09-04	-5.653	-5.433	-5.288	-5.012	
09-05	-5.656	-5.432	-5.292	-5.017	
09-06	-5.659	-5.422	-5.296	-5.022	
09-07	-5.662	-5.425	-5.3	-5.027	
09-08	-5.666	-5.429	-5.304	-5.031	
09-09	-5.658	-5.433	-5.308	-5.036	
09-10	-5.645	-5.437	-5.313	-5.036	
09-11	-5.626	-5.441	-5.317	-5.037	
09-12	-5.607	-5.438	-5.321	-5.019	
09-13	-5.604	-5.428	-5.324	-5.023	
09-14	-5.608	-5.432	-5.328	-5.018	
09-15	-5.611	-5.436	-5.332	-5.023	
09-16	-5.614	-5.44	-5.336	-5.028	
09-17	-5.618	-5.438	-5.34	-5.032	
09-18	-5.621	-5.419	-5.344	-5.037	
09-19	-5.624	-5.413	-5.348	-5.033	
09-20	-5.627	-5.417	-5.352	-5.027	
09-21	-5.631	-5.421	-5.345	-5.03	
09-22	-5.634	-5.425	-5.327	-5.034	
09-23	-5.637	-5.429	-5.308	-5.039	
09-24	-5.641	-5.432	-5.306	-5.044	
09-25	-5.644	-5.436	-5.309	-5.048	
09-26	-5.647	-5.44	-5.313	-5.046	
09-27	-5.65	-5.444	-5.317	-5.028	
09-28	-5.654	-5.447	-5.31	-5.027	
09-29	-5.657	-5.439	-5.294	-5.031	
09-30	-5.66	-5.441	-5.298	-5.027	
10-01	-5.659	-5.444	-5.296	-5.032	
10-02	-5.651	-5.448	-5.298	-5.029	
