DATE	P15	P40	P60	P85
08-07	13.6	29.7	46.8	64.1	
08-08	13.5	29.4	46.3	63.4	
08-09	14.3	28.9	45.5	62.3	
08-10	15.6	28.4	44.7	61.3	
08-11	15.4	28.0	44.0	60.3	
08-12	15.1	28.2	43.2	59.3	
08-13	15.5	29.1	42.6	59.5	
08-14	16.8	29.9	42.0	58.6	
08-15	17.0	29.5	41.3	57.7	
08-16	17.1	29.5	41.3	57.7	
08-17	17.0	29.5	41.3	57.7	
08-18	17.1	29.5	41.3	57.7	
08-19	17.2	29.5	41.3	57.6	
08-20	16.9	29.3	41.0	58.3	
08-21	15.4	27.9	39.7	58.0	
08-22	15.4	27.9	40.4	58.0	
08-23	15.4	28.5	41.2	58.0	
08-24	15.2	28.2	41.5	57.4	
08-25	15.2	28.1	41.4	57.2	
08-26	15.2	28.2	41.4	57.2	
08-27	15.0	27.8	40.8	56.5	
08-28	14.8	27.5	40.7	55.8	
08-29	14.7	27.3	40.5	55.5	
08-30	16.1	27.3	40.6	55.5	
08-31	17.6	27.7	41.4	55.5	
09-01	18.4	29.3	41.4	55.5	
09-02	18.3	30.5	41.5	56.7	
09-03	18.4	30.5	41.5	56.7	
09-04	18.3	30.5	41.5	56.6	
09-05	18.3	30.5	41.5	56.7	
09-06	18.2	30.3	41.5	57.1	
09-07	18.1	30.1	41.3	58.5	
09-08	18.1	30.1	41.4	58.5	
09-09	18.1	30.2	41.4	60.0	
09-10	18.8	30.1	41.4	61.6	
09-11	18.9	31.7	42.4	61.6	
09-12	19.0	31.7	42.8	61.6	
09-13	19.0	32.5	42.9	61.6	
09-14	18.9	33.0	43.8	61.3	
09-15	18.8	34.6	43.7	61.2	
09-16	18.9	34.6	43.8	61.2	
09-17	18.9	35.2	43.7	61.2	
09-18	18.8	36.0	43.6	61.0	
09-19	18.4	35.7	43.3	60.8	
09-20	16.9	34.7	42.3	60.1	
09-21	16.8	34.6	43.1	60.1	
09-22	15.3	33.4	43.0	59.4	
09-23	13.9	32.3	42.0	58.7	
09-24	12.8	32.6	41.3	58.2	
09-25	12.8	32.6	41.3	58.2	
09-26	12.8	32.6	41.3	59.5	
09-27	12.9	33.7	41.5	61.4	
09-28	12.8	33.7	41.5	62.4	
09-29	12.8	33.7	41.5	62.4	
09-30	13.3	34.3	41.5	62.3	
10-01	15.2	35.0	42.3	62.4	
10-02	16.0	35.0	44.1	62.6	
10-03	16.0	35.0	44.2	62.6	
10-04	16.0	35.0	44.2	63.5	
10-05	16.0	35.0	44.4	63.5	
10-06	14.4	34.2	43.4	62.8	
10-07	14.1	33.9	43.2	64.2	
10-08	14.7	33.9	43.1	66.2	
10-09	16.4	33.8	43.0	66.1	
10-10	16.0	33.1	42.9	64.8	
10-11	16.1	33.1	44.6	65.4	
10-12	16.0	33.1	44.6	65.4	
10-13	16.4	33.1	44.6	66.5	
10-14	15.6	32.3	45.1	66.1	
10-15	14.0	31.0	44.6	65.4	
10-16	13.7	30.5	43.5	64.7	
10-17	11.9	29.2	43.4	63.9	
10-18	9.9	29.8	44.2	63.2	
10-19	8.4	30.0	43.3	62.6	
10-20	8.5	30.0	43.3	64.0	
10-21	7.9	29.4	42.7	63.6	
10-22	7.9	29.4	42.7	65.7	
10-23	9.9	29.9	42.8	66.2	
10-24	8.7	28.6	41.1	64.5	
10-25	7.9	28.7	40.8	64.1	
10-26	7.9	28.7	43.1	64.1	
10-27	7.7	28.2	44.4	62.9	
10-28	8.9	28.5	44.2	61.5	
10-29	9.8	29.2	43.2	60.5	
10-30	9.7	28.6	42.4	59.2	
10-31	9.4	28.0	41.5	57.9	
11-01	9.3	27.4	42.0	58.7	
11-02	9.0	26.8	42.3	57.6	
11-03	9.0	27.1	43.2	57.3	
11-04	9.3	27.1	43.2	56.9	
11-05	10.0	28.2	43.3	56.9	
11-06	10.7	29.5	43.4	57.7	
11-07	12.4	29.3	43.2	58.8	
11-08	13.4	28.4	43.2	58.9	
11-09	13.1	28.0	42.8	58.5	
11-10	13.0	29.9	43.4	58.2	
11-11	12.7	30.3	43.8	57.1	
11-12	12.6	30.2	44.6	58.5	
11-13	12.6	30.0	44.4	60.1	
11-14	12.6	30.0	44.4	62.1	
11-15	12.6	31.0	44.4	62.9	
11-16	13.6	31.4	44.4	62.9	
11-17	14.1	31.3	45.0	63.2	
11-18	14.2	32.6	45.0	63.3	
11-19	15.3	32.6	45.5	63.3	
11-20	15.1	32.0	44.7	63.6	
11-21	15.6	32.3	44.4	62.7	
11-22	15.6	31.7	44.3	61.6	
11-23	17.0	31.6	43.5	62.4	
11-24	17.5	31.2	43.1	63.5	
11-25	17.6	32.0	42.4	62.8	
11-26	17.6	33.2	42.7	61.7	
11-27	17.5	32.8	43.4	60.6	
11-28	16.9	33.4	43.3	59.7	
11-29	16.0	34.0	42.2	58.4	
11-30	14.3	34.0	41.1	57.5	
12-01	12.9	33.5	40.5	58.0	
12-02	13.2	33.2	39.6	59.0	
12-03	12.9	31.5	37.9	59.2	
12-04	12.5	31.0	37.8	60.8	
12-05	12.2	31.5	37.9	62.2	
12-06	11.9	32.0	38.5	62.5	
12-07	10.7	30.9	37.4	62.4	
12-08	10.7	31.3	37.8	62.3	
